PPTID,Session1_Flanker_congruent_%correct,Session1_Flanker_neutral_%correct,Session1_Flanker_incongruent_%correct,Session1_Flanker_errorcost,Session1_Flanker_congruent_RT,Session1_Flanker_neutral_RT,Session1_Flanker_incongruent_RT,Session1_Flanker_RTcost,Session1_Stroop_congruent_%correct,Session1_Stroop_neutral_%correct,Session1_Stroop_incongruent_%correct,Session1_Stroop_errorcost,Session1_Stroop_congruent_RT,Session1_Stroop_neutral_RT,Session1_Stroop_incongruent_RT,Session1_Stroop_RTcost,Session1_GNG_gotrials_%correct,Session1_GNG_nogotrials_%correct,Session1_GNG_gotrials_RT,Session1_StopSignal_%Failedstop,Session1_StopSignal_MeanSSD,Session1_StopSignal_SSRTMEAN,Session1_StopSignal_GoRT,Session1_StopSignal_%correctGo,Session1_StopSignal_SSRTINTEGRATION,Session1_UPPS_NegativeUrgency,Session1_UPPS_Premeditation,Session1_UPPS_perseverance,Session1_UPPS_SensationSeeking,Session1_UPPS_PositiveUrgency,Session2_Flanker_congruent_%correct,Session2_Flanker_neutral_%correct,Session2_Flanker_incongruent_%correct,Session2_Flanker_errorcost,Session2_Flanker_congruent_RT,Session2_Flanker_neutral_RT,Session2_Flanker_incongruent_RT,Session2_Flanker_RTcost,Session2_Stroop_congruent_%correct,Session2_Stroop_neutral_%correct,Session2_Stroop_incongruent_%correct,Session2_Stroop_errorcost,Session2_Stroop_congruent_RT,Session2_Stroop_neutral_RT,Session2_Stroop_incongruent_RT,Session2_Stroop_RTcost,Session2_GNG_gotrials_%correct,Session2_GNG_nogotrials_%correct,Session2_GNG_gotrials_RT,Session2_StopSignal_%Failedstop,Session2_StopSignal_MeanSSD,Session2_StopSignal_SSRTMEAN,Session2_StopSignal_GoRT,Session2_StopSignal_%correctGo,Session2_StopSignal_SSRTINTEGRATION,Session2_UPPS_NegativeUrgency,Session2_UPPS_Premeditation,Session2_UPPS_perseverance,Session2_UPPS_SensationSeeking,Session2_UPPS_PositiveUrgency
1,90.417,90.833,79.167,11.250,400.915,393.652,451.156,50.240,96.66666667,93.33333333,86.66666667,10.000,696.3071968,788.9980877,908.9965649,212.689,100,58.66666667,349.5216287,55.40540541,140.8783784,269.6879138,408.5800971,93.7360179,280.1216216,1.75,1.363636364,1.5,3.583333333,1.285714286,61.66666667,63.33333333,58.75,2.916666667,331.2313871,306.6563635,348.1169571,16.88556997,79.58333333,72.91666667,66.25,13.33333333,540.9153546,629.753841,736.3285765,195.413222,99.55555556,39.33333333,323.1455777,64.4295302,93.2885906,268.4208689,366.3527851,86.32286996,303.7114094,2.25,1.636363636,1.4,3.25,2.142857143
2,97.500,97.083,71.250,26.250,417.394,451.606,537.455,120.061,90.41666667,91.25,84.16666667,6.250,521.6810399,569.1105565,643.6214799,121.940,100,72.66666667,352.7198418,50.66666667,200,284.3613636,464.7542998,96.17977528,255.4333333,2.916666667,2,2,3.416666667,2.142857143,92.91666667,92.5,75,17.91666667,358.0821786,364.1573063,389.3511966,31.26901802,88.33333333,90.41666667,89.16666667,-0.833333333,486.7583192,506.4266759,537.0323505,50.27403129,100,58,321.552756,58.38926174,116.7785235,254.3521071,359.221374,92.37668161,248.2214765,3.583333333,2.090909091,2.4,3.416666667,2.142857143
3,95.833,96.250,81.667,14.167,366.754,367.971,396.155,29.402,93.33333333,95.83333333,93.75,-0.417,644.1170405,664.3611527,697.2521827,53.135,100,78.66666667,361.081947,51.67785235,155.033557,281.6361059,427.147619,97.30941704,266.966443,1.75,2.090909091,1.4,3.333333333,1.357142857,95.83333333,94.58333333,80.83333333,15,375.7676147,368.1716323,409.6595025,33.89188779,92.91666667,94.16666667,96.25,-3.333333333,652.279027,676.1009848,692.6496434,40.37061636,99.77777778,66.66666667,387.7526441,65.98639456,104.0816327,295.0264755,385.0243902,94.86607143,303.9183673,1.916666667,2,1.8,3,1.214285714
4,97.917,96.667,85.833,12.083,451.938,446.351,490.056,38.118,97.08333333,95.41666667,91.25,5.833,568.6058787,583.8205824,640.3335743,71.728,100,97.33333333,373.3464212,49.66442953,386.9127517,194.1078433,571.4023529,97.30941704,176.0872483,2.166666667,1.909090909,1.6,3,1.857142857,95.41666667,95,90,5.416666667,401.4915841,405.8554462,433.0464825,31.55489842,97.91666667,96.66666667,92.08333333,5.833333333,564.968801,578.4956209,623.005619,58.03681803,99.77777778,88.66666667,354.935266,49.66442953,337.5838926,203.3065183,534.4848485,97.75784753,195.4161074,2.25,2.090909091,1.4,2.916666667,2.071428571
5,92.500,96.250,91.250,1.250,411.840,412.991,429.712,17.872,96.25,97.5,88.75,7.500,591.943187,632.5357413,624.3816708,32.438,98.66666667,76.66666667,384.5509905,56,105,310.4988713,409.0612745,94.83146067,318.58,1.916666667,2.818181818,1.2,3.333333333,1.785714286,92.08333333,90,91.25,0.833333333,440.7402522,432.7360436,453.7707995,13.0305473,97.08333333,94.16666667,84.16666667,12.91666667,626.0888582,656.7499703,679.1825182,53.09365999,98.88888889,68.66666667,392.4421358,51.33333333,161.6666667,240.3408333,402.3495702,80.4494382,242.1666667,1.166666667,2.272727273,1.3,3.833333333,1.214285714
7,97.917,95.417,87.500,10.417,491.091,479.229,560.911,69.820,92.91666667,94.58333333,95.41666667,-2.500,673.1548586,696.7576765,735.8089912,62.654,98.44444444,82,524.415295,69.79865772,154.0268456,383.8359451,506.6923077,87.89237668,433.6073826,2,2.181818182,2.3,3.25,1.285714286,96.25,97.91666667,90.83333333,5.416666667,375.5411683,376.9960872,421.3133566,45.77218838,92.08333333,92.91666667,93.33333333,-1.25,500.4726858,535.9322989,539.2801844,38.80749858,99.55555556,80,483.5250636,48.32214765,407.3825503,247.5003325,650.8917051,97.98206278,227.6174497,2.333333333,2.272727273,2,3.25,1.357142857
8,85.000,87.500,73.750,11.250,380.948,381.511,414.276,33.328,93.75,87.91666667,77.08333333,16.667,545.6397232,567.0423062,589.9994048,44.360,100,81.33333333,394.0831141,58.38926174,99.32885906,264.3325759,357.5036675,94.84304933,268.5872483,2.916666667,1.363636364,1.4,1.5,1.214285714,81.66666667,82.5,77.91666667,3.75,372.5218302,368.8889465,359.6587925,-12.86303775,77.08333333,71.66666667,72.08333333,5,446.9311439,484.8522845,475.6153326,28.68418871,100,76,373.9808645,57.43243243,93.91891892,249.0363384,342.4647202,93.7360179,253.3040541,2.083333333,1.818181818,1.4,1.25,1.214285714
9,92.917,92.500,80.000,12.917,418.894,421.161,474.270,55.377,95.83333333,94.16666667,87.91666667,7.917,574.3650422,640.2894488,666.5266435,92.162,100,81.33333333,397.0840196,50.34013605,170.7482993,272.9094188,438.1520737,98.4375,265.2517007,3.5,3.363636364,3.8,3.5,3.357142857,92.08333333,90.41666667,83.33333333,8.75,413.1269251,395.1187386,447.0511631,33.92423804,97.08333333,93.33333333,88.33333333,8.75,507.736444,544.4943498,588.564937,80.82849306,100,72.66666667,384.8146775,51.70068027,155.1020408,264.2417092,416.1733021,96.875,263.8979592,3.75,3.727272727,4,3.583333333,3.928571429
10,97.917,98.750,88.750,9.167,403.044,407.346,445.237,42.194,96.66666667,97.5,97.08333333,-0.417,626.8512024,640.8586524,709.0812758,82.230,98.66666667,84.66666667,417.8431302,46.62162162,778.7162162,156.0868141,936.2385321,73.15436242,181.3378378,2.666666667,2.272727273,2.8,2.416666667,2.428571429,93.33333333,89.16666667,75.41666667,17.91666667,350.4412083,351.6046235,371.742218,21.30100975,96.25,95.83333333,98.33333333,-2.083333333,582.8918716,596.8054454,609.1217412,26.22986961,100,95.33333333,464.3999225,56,134.3333333,307.8548753,430.7452381,97.30337079,302.6666667,2.5,3,2.9,2.416666667,2.142857143
11,98.750,99.167,96.250,2.500,426.465,427.133,471.835,45.369,97.08333333,97.08333333,97.08333333,0.000,701.3325022,702.7710764,756.1617405,54.829,100,96,434.2523781,45.33333333,830.3333333,144.7936508,975.1269841,70.78651685,176.9666667,2.083333333,2.636363636,2.1,3.666666667,2.071428571,93.75,94.16666667,88.75,5,411.8305663,395.9432317,431.0614182,19.23085192,97.91666667,97.91666667,98.75,-0.833333333,649.2459767,635.9583193,659.8707885,10.62481178,100,92,438.6941109,51.67785235,272.8187919,229.5025564,506.259434,95.73991031,221.114094,2.333333333,2.727272727,1.9,3.583333333,2.071428571
