PPTID,Session1_Posner_cued_%correct,Session1_Posner_uncued_%correct,Session1_Posner_cued_RT,Session1_Posner_uncued_RT,Session1_Posner_cueing effect,Session1_SNARC_congruent_%correct,Session1_SNARC_incongruent_%correct,Session1_SNARC_ERRORCOST,Session1_SNARC_congruent_RT,Session1_SNARC_incongruent_RT,Session1_SNARC_RTCOST,Session1_NAVON_LOCAL_congruent_%correct,Session1_NAVON_LOCAL_incongruent_%correct,Session1_NAVON_LOCAL_ERRORCOST,Session1_NAVON_LOCAL_congruent_RT,Session1_NAVON_LOCAL_incongruent_RT,Session1_NAVON_LOCAL_RTCOST,Session1_NAVON_GLOBAL_congruent_%correct,Session1_NAVON_GLOBAL_incongruent_%correct,Session1_NAVON_GLOBAL_ERRORCOST,Session1_NAVON_GLOBAL_congruent_RT,Session1_NAVON_GLOBAL_incongruent_RT,Session1_NAVON_GLOBAL_RTCOST,Session1_NAVON_GLOBAL_PRECEDENCE_RTCOST,Session1_UPPS_NegativeUrgency,Session1_UPPS_Premeditation,Session1_UPPS_perseverance,Session1_UPPS_SensationSeeking,Session1_UPPS_PositiveUrgency,Session2_Posner_cued_%correct,Session2_Posner_uncued_%correct,Session2_Posner_cued_RT,Session2_Posner_uncued_RT,Session2_Posner_cueing effect,Session2_SNARC_congruent_%correct,Session2_SNARC_incongruent_%correct,Session2_SNARC_ERRORCOST,Session2_SNARC_congruent_RT,Session2_SNARC_incongruent_RT,Session2_SNARC_RTCOST,Session2_NAVON_LOCAL_congruent_%correct,Session2_NAVON_LOCAL_incongruent_%correct,Session2_NAVON_LOCAL_ERRORCOST,Session2_NAVON_LOCAL_congruent_RT,Session2_NAVON_LOCAL_incongruent_RT,Session2_NAVON_LOCAL_RTCOST,Session2_NAVON_GLOBAL_congruent_%correct,Session2_NAVON_GLOBAL_incongruent_%correct,Session2_NAVON_GLOBAL_ERRORCOST,Session2_NAVON_GLOBAL_congruent_RT,Session2_NAVON_GLOBAL_incongruent_RT,Session2_NAVON_GLOBAL_RTCOST,Session2_NAVON_GLOBAL_PRECEDENCE_RTCOST,Session2_UPPS_NegativeUrgency,Session2_UPPS_Premeditation,Session2_UPPS_perseverance,Session2_UPPS_SensationSeeking,Session2_UPPS_PositiveUrgency
1,96.6796875,96.875,292.4482602,341.2733544,48.82509417,85.625,83.4375,2.1875,430.2127093,450.6426166,20.42990726,94.375,61.875,32.5,519.6615983,601.2302383,81.56864007,88.125,89.375,-1.25,412.3087272,432.1776732,19.86894603,107.3528711,2.083333333,2.272727273,1.5,3.333333333,2.285714286,98.4375,99.21875,293.4878814,348.7631978,55.27531631,91.5625,80.625,10.9375,423.8068946,454.114733,30.30783845,99.375,75,24.375,503.8118305,588.4687725,84.65694197,90.625,87.5,3.125,473.7943865,454.8616557,-18.93273084,30.01744401,2.166666667,2.090909091,1.7,3.25,2.214285714
2,98.6328125,97.65625,275.5341382,371.0981676,95.56402932,83.75,86.875,-3.125,393.4080943,417.8582961,24.45020176,92.5,71.25,21.25,424.6231992,498.1278656,73.50466632,89.375,90,-0.625,363.0500449,378.9840288,15.93398382,61.57315429,2.083333333,2.090909091,2,2.833333333,2,97.8515625,97.65625,287.2121094,314.9909813,27.77887189,92.1875,88.75,3.4375,410.9100964,445.7760292,34.86593279,94.375,83.75,10.625,451.5991201,501.2781058,49.67898567,93.75,90,3.75,387.7506553,398.909641,11.15898573,63.84846482,2.166666667,2,1.9,2.833333333,2
4,96.2890625,96.875,265.0249417,277.3776131,12.35267137,95.3125,95.625,-0.3125,458.676564,480.0163574,21.33979331,100,86.25,13.75,489.9446016,610.3274638,120.3828622,96.875,95.625,1.25,435.8188067,433.8653441,-1.953462622,54.12579492,2.5,2.181818182,2.1,2.333333333,3.214285714,97.265625,96.09375,255.2087036,287.2972061,32.08850248,97.5,93.125,4.375,439.7925007,449.5084469,9.715946215,100,86.25,13.75,471.7514717,554.247112,82.49564029,98.75,95,3.75,406.3138505,433.8872574,27.57340684,65.4376212,2.5,2.363636364,2.2,2.5,2.928571429
5,99.609375,100,306.2281523,316.0746822,9.846529848,96.875,96.25,0.625,483.9431983,465.0950981,-18.8481002,98.125,94.375,3.75,495.0121863,570.1973603,75.18517399,97.5,93.75,3.75,435.7062103,442.8244866,7.118276288,59.30597604,2.083333333,2.090909091,1.7,2.916666667,2,99.4140625,98.4375,280.8921973,285.9975246,5.105327338,92.8125,91.875,0.9375,450.0571475,417.4900434,-32.56710418,96.25,83.125,13.125,461.008501,522.9440017,61.93550072,92.5,93.75,-1.25,410.0898768,420.0752877,9.985410933,50.91862423,1.333333333,2.090909091,2,2.916666667,1.071428571
6,98.828125,99.21875,342.9529417,389.6237471,46.67080539,96.5625,95,1.5625,528.8623249,526.7377904,-2.124534504,98.75,91.25,7.5,508.3499627,581.7637859,73.41382321,96.25,96.875,-0.625,442.1416391,452.5296646,10.38802543,66.20832358,3,2,2.3,3.416666667,2.142857143,98.828125,100,325.2302904,358.0472814,32.81699103,93.4375,95.3125,-1.875,474.6461413,475.3667759,0.720634604,98.75,89.375,9.375,477.1645178,548.822915,71.65839713,95,93.75,1.25,426.2995713,436.7278195,10.42824825,50.86494656,2.916666667,2.181818182,2.3,3.416666667,1.785714286
7,98.828125,97.65625,268.4607826,309.1958046,40.735022,91.5625,87.8125,3.75,441.848524,427.2510286,-14.59749539,99.375,90,9.375,441.0430709,504.5767366,63.5336657,94.375,97.5,-3.125,352.7334423,379.398367,26.66492471,88.30962853,2.25,2.181818182,1.9,2.666666667,1.785714286,99.609375,97.65625,291.4847805,321.9793732,30.49459271,95.9375,96.25,-0.3125,481.3890933,505.5831202,24.19402696,98.75,94.375,4.375,440.9581905,510.4752784,69.51708789,98.75,97.5,1.25,382.5962066,371.8542661,-10.74194044,58.3619839,2.333333333,1.818181818,2.4,2.5,1.5
8,97.4609375,97.65625,309.9099354,353.4638377,43.5539023,85,89.0625,-4.0625,463.0543519,478.9132155,15.85886361,96.25,71.875,24.375,486.4664816,572.1231845,85.65670285,90.625,87.5,3.125,425.8126654,428.5185936,2.705928192,60.65381627,3,1.545454545,1.4,2.833333333,2.5,96.484375,96.09375,314.0122233,368.7210907,54.70886736,84.375,82.5,1.875,442.7397773,444.5101683,1.770390992,95.625,69.375,26.25,446.0114119,517.8148055,71.80339363,88.75,88.125,0.625,416.0252856,422.6052471,6.579961507,29.98612628,2.166666667,2,1.9,3.083333333,1.857142857
9,96.484375,97.65625,266.9069963,289.0159122,22.1089159,91.5625,91.875,-0.3125,425.022237,401.4347663,-23.58747065,98.75,73.75,25,449.9871478,518.827478,68.8403302,90,90,0,394.6801387,398.5735003,3.893361575,55.30700903,2.916666667,2.272727273,2.8,3.416666667,3.428571429,98.6328125,99.21875,264.084817,284.635012,20.550195,94.0625,92.5,1.5625,405.5638601,425.5059759,19.94211577,99.375,82.5,16.875,441.2099295,526.3130801,85.10315063,91.875,94.375,-2.5,394.1102109,399.6815489,5.571337983,47.09971861,2.583333333,2.636363636,2.8,2.833333333,3.142857143
10,96.875,98.4375,268.5297771,341.1379956,72.60821854,86.25,84.6875,1.5625,408.9568383,425.7646372,16.80779883,98.125,69.375,28.75,431.516442,512.7665207,81.25007869,88.75,86.25,2.5,381.3343756,381.9515801,0.617204519,50.18206643,2.25,2.909090909,2.6,3.333333333,2.714285714,95.8984375,97.65625,253.3739796,310.8080307,57.43405112,89.0625,86.5625,2.5,399.8031464,419.2537686,19.45062216,97.5,74.375,23.125,418.0061948,495.9811255,77.97493075,94.375,88.75,5.625,382.1626243,382.1855427,0.022918347,35.84357043,2.666666667,2.909090909,2.7,3.25,2.5
12,97.265625,96.875,234.6348637,255.0535198,20.418656,89.0625,89.375,-0.3125,415.8112528,424.7326706,8.921417815,95,75,20,448.6342578,535.8207278,87.18646995,88.125,78.75,9.375,357.775947,366.356152,8.580205023,90.8583108,2.583333333,2.090909091,2.6,2.75,2.285714286,97.0703125,96.09375,235.9739506,265.7979524,29.82400179,85.9375,87.1875,-1.25,409.6970246,413.1624279,3.465403349,93.75,74.375,19.375,435.1520826,496.5749045,61.42282192,86.25,85.625,0.625,380.741345,350.6934253,-30.04791966,54.41073761,2.416666667,1.909090909,2.4,3.166666667,2.142857143
